4,"t","Honey: Released February 25, 2011, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
4,"t","Reliability of Honey Estimates 1/"
4,"h","","","","","","","","",""
4,"h","","","","","Difference Between","Difference Between","Difference Between","Number of Years","Number of Years"
4,"h","","Root","90 Percent","90 Percent","First and Latest","First and Latest","First and Latest","",""
4,"h","","Mean","Confidence","Confidence","Estimates","Estimates","Estimates","First","First"
4,"h","Item","Square","Level","Level","","","","Above","Below"
4,"h","","Error","","","Average","Smallest","Largest","Latest","Latest"
4,"h","","","","","","","","",""
4,"u","","Percent","Percent","1,000","1,000","1,000","1,000","Number","Number"
4,"d","Honey",,,,,,,,
4,"d","Producing",1.1,2.0,53,20,1,50,3,7
4,"d","Colonies",,,,,,,,
4,"d","",,,,,,,,
4,"d","Honey",,,,,,,,
4,"d","Production",0.8,1.4,2541,800,64,2928,4,6
4,"c",""
4,"f","1/ Based on data for the past 10 years."
